region,year_start,vineyard_area_ha,selected_model,predicted_production_hl,lower_90_hl,upper_90_hl,region_interval_half_width_hl,historical_lower_floor_hl
Alentejo,2026,25421.93,Random forest with lags,1068766,878783,1258749,189983,243101
Algarve,2026,1201.75,Random forest with lags,18255,13883,22627,4372,3126
Açores,2026,1334.12,Random forest with lags,10151,5345,14957,4806,1081
Bairrada,2026,9180.68,Random forest with lags,188368,142118,234618,46250,45336
Beira Interior,2026,11360.82,Random forest with lags,219067,132870,305264,86197,48610
Douro,2026,43929.72,Random forest with lags,1411028,1169722,1652334,241306,335547
Dão,2026,9834.17,Random forest with lags,218304,135071,301537,83233,53523
Lisboa,2026,17819.98,Random forest with lags,1166580,991410,1341750,175170,248000
Madeira,2026,645.88,Random forest with lags,28790,24194,33386,4596,8093
P. Setúbal,2026,7355.33,Random forest with lags,477691,439253,516129,38438,92657
T. Montes,2026,4520.63,Random forest with lags,93138,45954,140322,47184,15201
Tejo,2026,11713.12,Random forest with lags,637021,549297,724745,87724,114683
Távora-Varosa,2026,2072.41,Random forest with lags,54116,32062,76170,22054,11192
Verdes,2026,23272.15,Random forest with lags,1054430,928093,1180767,126337,196576
